Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Communication skills,Data Science,Troubleshooting skills,Graphics Designing,Role
Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Not Interested,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Poor,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Beginner,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Average,Not Interested,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Poor,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Beginner,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Average,Average,Not Interested,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Beginner,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Poor,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Artificial Intelligence and Machine Learning
Average,Average,Average,Not Interested,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Beginner,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Intermediate,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Average,Average,Average,Excellent,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Average,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Beginner,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Beginner,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Beginner,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Not Interested,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Artificial Intelligence and Machine Learning
